Site,LONG,LAT
YN,97.931692,24.708372
GH,113.300699,23.102953
HN,109.910318,19.584144
GX,108.339986,21.605939
ZH,113.550113,22.344587
SZ,113.95883,22.652705
DG,113.825937,22.895345
HS,114.14334,22.27406
HQ,114.108537,22.400132
PD,120.491346,22.653888
ML,120.80546,24.555097
CXXG,114.193333,22.390722
CXXX,114.26,22.324056
CAFD,113.563834,22.118473
CALH,113.550634,22.205189
TW,120.974197,23.970597
JY,120.449156,23.4869
TY,121.258508,24.825157
KEA,76.606599,10.299041
KEB,75.968448,11.381145
KEC,76.229739,10.061011
KED,76.345559,9.671992
KEE,76.686518,12.416371
NBA,88.626133,26.796513
NBB,88.594684,27.122592
NEA,91.729988,25.281576
NEB,91.005112,26.635149
NEC,94.201103,26.716911
NED,94.155991,26.937468
KOL,88.487767,22.679404
BL,89.53248,22.778826
VA,168.299875,-17.697361
SL,79.79077,7.576462
MYA,103.838547,2.433444
MYB,103.139353,3.917345
MYC,110.342159,1.575485
MYD,118.631686,4.245613
INA,115.214883,-8.658331
INB,98.667409,3.566492
INC,106.805259,-6.597047
PL,124.805733,10.679054
SG,103.863725,1.359717
TH,100.46933,7.002332
JPA,127.988,26.562
JPB,127.819,26.376
JPC,127.82,26.376